구분,학교,직군,교육과정명,세부교육과정명,운영일정,수강 정보
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 소셜 콘텐츠 제작 부트캠프,(6회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(1회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(2회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(3회) 2026.09. ~ 2026.10.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(4회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(5회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,명지전문대학,미디어콘텐츠제작,AI 콘텐츠 크리에이터 양성과정 집중캠프,AI 영상 크리에이터 마스터 클래스,(6회) 2026.11. ~ 2026.12.,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 기초 윤리과정,온라인,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),간호 현장 AI 활용 기초,(1회) 2026.08.03~2026.09.27 ,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI·DX in Nursing,(1회) 2026.09.28~2026.10.25,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 스마트 미래 간호,(1회) 2026.10.26~2026.11.22,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 전환과 치과산업 변화에 대응하는New dental hygienist,(1회) 2026.08.30~2026.09.20 ,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 기반 노인 구강건강 스마트 케어 전문가,(1회) 2026.08.30~2026.09.20,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 기반 작업치료 활동분석 및 인지중재 프로그램 개발,(1회) 2026.10.05~2026.11.01,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 기반 외상 응급처치 시나리오 분석 및 의사결정 과정,(1회) 2026.10.01~2026.10.31 ,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI·D 의료영상 기초(Basic),(1회) 2026.08.03~2026.09.27,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI·D 의료영상 심화 (Advanced),(1회) 2026.09.28~2026.10.25,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI·D 의료영상 실습 강화 (Intensive),(1회) 2026.10.26~2026.11.22 ,
AID 30+ 집중캠프,춘해보건대학교,보건의료,Medi-AID 커리어 점프업(Jump-up),AI 기반 물리치료 진단분석,(2회) 2026.09.01~202.610.30 ,
AID 묶음강좌,대구한의대학교,마케팅,바이브코딩과 생성형 AI를 활용한 1인 AI마케터 과정,바이브코딩을 활용한 데이터 마케팅,2026.10.19~12.07.,
AID 묶음강좌,대구한의대학교,마케팅,바이브코딩과 생성형 AI를 활용한 1인 AI마케터 과정,바이브코딩 마케팅 자동화 및 홈페이지 만들기,2026.10.19~12.07.,
AID 묶음강좌,대구한의대학교,마케팅,바이브코딩과 생성형 AI를 활용한 1인 AI마케터 과정,생성형 AI를 활용한 마케팅 콘텐츠 제작,2026.10.19~12.07.,
AID 묶음강좌,서강대학교,경영 전략·기획,AI를 활용한 데이터 기반 업무혁신 및 의사결정 지원 과정,의사결정 지원을 위한 AI 개론,’26.10.1~12.31,
AID 묶음강좌,서강대학교,경영 전략·기획,AI를 활용한 데이터 기반 업무혁신 및 의사결정 지원 과정,"생성형 인공지능을 이용한 데이터 수집, 분석 및 활용",’26.10.1~12.31,
AID 묶음강좌,서강대학교,경영 전략·기획,AI를 활용한 데이터 기반 업무혁신 및 의사결정 지원 과정,빅데이터 마이닝과 시각화,’26.10.1~12.31,
AID 묶음강좌,서울디지털대학교,공공데이터 분석을 활용하는 모든 직군(데이터 분석·기획·전략),공공데이터 분석 및 AI 실무를 위한 비즈니스 QGIS,공공데이터 사이언스: 수집부터 시각화 실무까지,2026.10.01~2026.12.31,
AID 묶음강좌,서울디지털대학교,공공데이터 분석을 활용하는 모든 직군(데이터 분석·기획·전략),공공데이터 분석 및 AI 실무를 위한 비즈니스 QGIS,로케이션 애널리틱스: 데이터 기반 비즈니스 전략 수립,2026.10.01~2026.12.31,
AID 묶음강좌,서울디지털대학교,공공데이터 분석을 활용하는 모든 직군(데이터 분석·기획·전략),공공데이터 분석 및 AI 실무를 위한 비즈니스 QGIS,비즈니스 자동화(RPA)와 GeoAI: 지능형 데이터 분석,2026.10.01~2026.12.31,
AID 묶음강좌,순천향대학교,의료,AI의료융합 전문가 되기,의료AI 개론,2026.08.31.~2026.12.13.,
AID 묶음강좌,순천향대학교,의료,AI의료융합 전문가 되기,의료AI 분석기초와 활용,2026.08.31.~2026.12.13.,
AID 묶음강좌,순천향대학교,의료,AI의료융합 전문가 되기,의료AI 활용실무,2026.08.31.~2026.12.13.,
AID 묶음강좌,광운대학교,로봇,AI와 디지털 기반 연구개발 문제 접근과 응용 실무,AI와 디지털 기반 로봇의 설계,"’26.03.11~06.26(1차)
‘26.07.06~9.14(2차)
’26.9.1~11.16(3차)",https://www.kmooc.kr/view/course/series/detail/214
AID 묶음강좌,광운대학교,로봇,AI와 디지털 기반 연구개발 문제 접근과 응용 실무,AI와 디지털 기반 로봇 행동 설계를 위한 시뮬레이션과 강화학습,"’26.03.11~06.26(1차)
‘26.07.06~9.14(2차)
’26.9.1~11.16(3차)",https://www.kmooc.kr/view/course/series/detail/214
AID 묶음강좌,광운대학교,로봇,AI와 디지털 기반 연구개발 문제 접근과 응용 실무,AI와 디지털 기반 로봇을 활용한 자율 조작 학습,"’26.03.11~06.26(1차)
‘26.07.06~9.14(2차)
’26.9.1~11.16(3차)",https://www.kmooc.kr/view/course/series/detail/214
AID 묶음강좌,대구한의대학교,한의·한방,"SQL, 파이썬을 이용한 한방 데이터 활용 실무",SQL을 활용한 한방 마케팅 데이터 분석,"2026.07.01~2026.08.31
2026.09.01~2026.10.31
2026.11.01~2026.12.31",https://www.kmooc.kr/view/course/series/detail/209
AID 묶음강좌,대구한의대학교,한의·한방,"SQL, 파이썬을 이용한 한방 데이터 활용 실무",Python을 활용한 한방 산업 데이터 시각화 및 분석,"2026.07.01~2026.08.31
2026.09.01~2026.10.31
2026.11.01~2026.12.31",https://www.kmooc.kr/view/course/series/detail/209
AID 묶음강좌,대구한의대학교,한의·한방,"SQL, 파이썬을 이용한 한방 데이터 활용 실무",한의학 특화 데이터 분석 및 임상 의사결정 시스템 응용,"2026.07.01~2026.08.31
2026.09.01~2026.10.31
2026.11.01~2026.12.31",https://www.kmooc.kr/view/course/series/detail/209
AID 묶음강좌,동서울대학교,옥외광고,2026년 재직자 AI·디지털(AI·D) 집중과정 AI·D 묶음강좌,AID 옥외광고물법 분석 및 활용,"26.04.06~07.10(1차)
26.08.24~12.04(2차)",https://www.kmooc.kr/view/course/series/detail/216
AID 묶음강좌,동서울대학교,옥외광고,2026년 재직자 AI·디지털(AI·D) 집중과정 AI·D 묶음강좌,AID 옥외광고물 제안서 제작 실무,"26.04.06~07.10(1차)
26.08.24~12.04(2차)",https://www.kmooc.kr/view/course/series/detail/216
AID 묶음강좌,동서울대학교,옥외광고,2026년 재직자 AI·디지털(AI·D) 집중과정 AI·D 묶음강좌,AID 옥외광고물 디자인 실무,"26.04.06~07.10(1차)
26.08.24~12.04(2차)",https://www.kmooc.kr/view/course/series/detail/216
AID 묶음강좌,명지전문대학,미디어콘텐츠 제작,AI 콘텐츠 크리에이터 양성과정,사무업무 효율화를 위한 LLM 활용 전략,"2026.07.01. ~ 09.30.(1차)
2026.10.01. ~ 12.11.(2차)",https://www.kmooc.kr/view/course/series/detail/210
AID 묶음강좌,명지전문대학,미디어콘텐츠 제작,AI 콘텐츠 크리에이터 양성과정,AI 소셜 콘텐츠 제작 프로세스,"2026.07.01. ~ 09.30.(1차)
2026.10.01. ~ 12.11.(2차)",https://www.kmooc.kr/view/course/series/detail/210
AID 묶음강좌,명지전문대학,미디어콘텐츠 제작,AI 콘텐츠 크리에이터 양성과정,AI 영상제작 마스터클래스,"2026.07.01. ~ 09.30.(1차)
2026.10.01. ~ 12.11.(2차)",https://www.kmooc.kr/view/course/series/detail/210
AID 묶음강좌,서강대학교,금융 및 보험,금융 및 보험 분야를 위한 AI 기초지식 및 생성형 AI 활용법,머신러닝과 딥러닝 이론 및 Colab 실습,"2026.07.01~2026.08.31
2026.10.01~2026.12.31",
AID 묶음강좌,서강대학교,금융 및 보험,금융 및 보험 분야를 위한 AI 기초지식 및 생성형 AI 활용법,보험 및 금융 분야에 생성형 AI 활용법,"2026.07.01~2026.08.31
2026.10.01~2026.12.31",
AID 묶음강좌,서강대학교,금융 및 보험,금융 및 보험 분야를 위한 AI 기초지식 및 생성형 AI 활용법,"RAG를 이용한 나만의
AI 금융 비서, 보험 설계사 만들기","2026.07.01~2026.08.31
2026.10.01~2026.12.31",
AID 묶음강좌,연성대학교,서비스직(미용),AI 뷰티 테크,AI를 활용한 헤어디자인,"2026.06.08~2026.08.31
2026.09.03~2026.12.18",https://www.kmooc.kr/view/course/series/detail/206
AID 묶음강좌,연성대학교,서비스직(미용),AI 뷰티 테크,AI기반 고객 맞춤형 헤어케어,"2026.06.08~2026.08.31
2026.09.03~2026.12.18",https://www.kmooc.kr/view/course/series/detail/206
AID 묶음강좌,연성대학교,서비스직(미용),AI 뷰티 테크,AI를 활용한 헤어살롱 경영&마케팅,"2026.06.08~2026.08.31
2026.09.03~2026.12.18",https://www.kmooc.kr/view/course/series/detail/206
AID 묶음강좌,전주대학교,중소상공인,로컬 비즈니스 브랜딩 과정,AI 시대 소상공인 데이터 분석,"2026.08.31.~2026.10.09.
2026.11.02.~2026.12.24.",
AID 묶음강좌,전주대학교,중소상공인,로컬 비즈니스 브랜딩 과정,AI와 함께하는 마케팅 전략,"2026.08.31.~2026.10.09.
2026.11.02.~2026.12.24.",
AID 묶음강좌,전주대학교,중소상공인,로컬 비즈니스 브랜딩 과정,AI 기반 SNS 브랜딩,"2026.08.31.~2026.10.09.
2026.11.02.~2026.12.24.",
AID 묶음강좌,한성대학교,마케팅,"생성형 AI의 반란, 마케팅을 혁신하다",AID+ 마케팅 핵심: '생성형 AI'와 업무 함께하기,"2026.03.16~2026.6.12
2026.9.1~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 묶음강좌,한성대학교,마케팅,"생성형 AI의 반란, 마케팅을 혁신하다",AID+ 마케팅 실전: 'AI 솔루션'과 성공 전략짜기,"2026.03.16~2026.6.12
2026.9.1~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 묶음강좌,한성대학교,마케팅,"생성형 AI의 반란, 마케팅을 혁신하다",AID+ 마케팅 마스터: 'AI 에이전트'와 마케팅 자동화하기,"2026.03.16~2026.6.12
2026.9.1~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 묶음강좌,한양대학교,건설,건설 프로젝트 자동화를 위한 데이터 분석,건설 프로젝트 자동화 사례 분석,"2026.08.03~2026.09.30
2026.10.06~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 묶음강좌,한양대학교,건설,건설 프로젝트 자동화를 위한 데이터 분석,"건설 프로젝트에서의 
데이터에 대한 이해","2026.08.03~2026.09.30
2026.10.06~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 묶음강좌,한양대학교,건설,건설 프로젝트 자동화를 위한 데이터 분석,인공지능 기반의 이미지 프로세싱 기술 및 텍스트 자동화 분석,"2026.08.03~2026.09.30
2026.10.06~2026.11.27",https://www.kmooc.kr/view/course/series/detail/198
AID 30+ 집중캠프,건양대학교,제조업,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 설비·품질 데이터 활용(제조업 집중과정),(1회) 2026.06.01~2026.08.31,
AID 30+ 집중캠프,건양대학교,제조업,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 설비·품질 데이터 활용(제조업 집중과정),(2회) 2026.09.01~2026.12.31,
AID 30+ 집중캠프,건양대학교,마케팅,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI마케팅·콘텐츠 자동화(영업마케팅 집중 과정),(1회) 2026.06.01~2026.08.31,
AID 30+ 집중캠프,건양대학교,마케팅,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI마케팅·콘텐츠 자동화(영업마케팅 집중 과정),(2회) 2026.07.01~2026.09.31,
AID 30+ 집중캠프,건양대학교,마케팅,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI마케팅·콘텐츠 자동화(영업마케팅 집중 과정),(3회) 2026.08.01~2026.10.31,
AID 30+ 집중캠프,건양대학교,마케팅,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI마케팅·콘텐츠 자동화(영업마케팅 집중 과정),(4회) 2026.9.01~2026.12.31,
AID 30+ 집중캠프,건양대학교,국방·경찰 분야,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 행정 업무 효율화(국방·경찰 집중 과정),"(1,2회) 2026.06.01~2026.08.31",
AID 30+ 집중캠프,건양대학교,국방·경찰 분야,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 행정 업무 효율화(국방·경찰 집중 과정),"(3,4회) 2026.07.01~2026.09.31",
AID 30+ 집중캠프,건양대학교,국방·경찰 분야,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 행정 업무 효율화(국방·경찰 집중 과정),"(5,6회) 2026.08.01~2026.10.31",
AID 30+ 집중캠프,건양대학교,국방·경찰 분야,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 행정 업무 효율화(국방·경찰 집중 과정),"(7,8회) 2026.9.01~2026.11.30",
AID 30+ 집중캠프,건양대학교,국방·경찰 분야,"국방분야 집중과정, 영업마케팅 집중과정, 제조업 집중과정",AI 행정 업무 효율화(국방·경찰 집중 과정),"(9,10회) 2026.9.01~2026.12.31",
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.07.07.(1회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.07.14.(2회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.08.18.(3회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.09.29.(4회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.10.13.(5회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.11.03.(6회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,생성형AI 활용 사회복지 실무과정,2026.11.17.(7회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.07.09.(1회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.07.16.(2회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.08.20.(3회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.10.01.(4회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.10.15.(5회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.11.05.(6회차),
AID 30+ 집중캠프,경일대학교,사회복지시설종사자,AI & RPA 활용 사회복지혁신과정 ,RPA 활용 사회복지 실무과정,2026.11.19.(7회차),
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(1차),2026. 7. 15. - 8. 7.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(2차),2026. 8.10. - 9. 6.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(3차),2026. 9.1. - 9. 27.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(4차),2026. 10.6. - 10.31,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(5차),2026. 11. 2.. - 11. 29.,
AID 30+ 집중캠프,대구과학대학교,영유아 교육·돌봄,AI기반 영유아 디지털 교육콘텐츠 제작 과정,스마트 톡톡! AI 이미지 창작소(6차),2026. 12. 1. - 12. 27.,
